stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type
425601,Schwetzinger Terrass,49.399316,8.671761,,0
247005,Ulmenweg,49.50709,8.49274,,0
247006,Ulmenweg,49.507393,8.493336,,0
247001,Ulmenweg,49.50739,8.49301,,0
247002,Ulmenweg,49.5077,8.49361,,0
113001,Mombertplatz,49.36908,8.704279,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
218101,Oppau,49.517556,8.410117,,0
113002,Mombertplatz,49.369554,8.704051,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
218105,Oppau,49.518064,8.410113,,0
236501,Hessische Straße,49.51518,8.49619,,0
236502,Hessische Straße,49.51567,8.49641,,0
264505,Wallstadt West,49.500713,8.543642,,0
612002,Im Hauskorb,49.469441,8.796715,,0
612001,Im Hauskorb,49.469383,8.796396,,0
564705,Hafenbahnstraße,49.51374,8.482268,,0
564706,Hafenbahnstraße,49.513522,8.483607,,0
248107,Neckarau Bahnhof,49.455001,8.495407,,0
61912,Edingen Bahnhof,49.441147,8.615376,,0
425602,Schwetzinger Terrass,49.39946,8.67164,,0
287505,Meßkircher Straße,49.461365,8.561706,,0
217405,Kurt-Schumacher-Str.,49.52549,8.39909,,0
203501,Rheinfeldstraße,49.499176,8.425062,,0
203502,Rheinfeldstraße,49.499477,8.424792,,0
203505,Rheinfeldstraße,49.500004,8.424567,,0
203506,Rheinfeldstraße,49.499223,8.424793,,0
555505,Eugen-Neter-Schule,49.565933,8.493165,,0
258712,Deutscher Hof,49.47087,8.55702,,0
256305,Krähenflügel,49.55131,8.456694,,0
256306,Krähenflügel,49.551417,8.457486,,0
237106,Käfertal Rathaus,49.513097,8.517326,,0
237105,Käfertal Rathaus,49.51205,8.517878,,0
120902,Harbigweg,49.391885,8.670072,,0
120901,Harbigweg,49.392006,8.669227,,0
679401,Montpellierbrücke,49.400513,8.678372,,0
679402,Montpellierbrücke,49.40079,8.67874,,0
125601,Marktstr.,49.403519,8.647256,,0
114302,Bethanienkrankenhaus,49.392596,8.690218,,0
133701,Chirurgische Klinik,49.41372,8.673728,,0
133702,Chirurgische Klinik,49.413763,8.673415,,0
112601,Louise-Ebert-Zentrum,49.373004,8.703735,,0
112602,Louise-Ebert-Zentrum,49.37283,8.70365,,0
673905,Budapester Straße,49.537945,8.389165,,0
232605,Alteichwaldsiedlung,49.43226,8.57205,,0
122501,Blumenthalstr.,49.421556,8.68906,,0
122502,Blumenthalstr.,49.42207,8.68895,,0
125202,Henkel-Teroson-Str.,49.4058,8.6527,,0
62606,Neckarh. Schloss,49.464614,8.602036,,0
62605,Neckarh. Schloss,49.46418,8.602517,,0
125201,Henkel-Teroson-Str.,49.405689,8.652342,,0
298501,Ngmd. Altes Rathaus,49.393245,8.799461,,0
574201,Dossenheim Nord,49.452844,8.667348,,0
574202,Dossenheim Nord,49.453463,8.667083,,0
263605,Osterburker Straße,49.493904,8.547069,,0
263606,Osterburker Straße,49.493722,8.546217,,0
752205,Drehbrücke,49.47035,8.45283,,0
238615,Luzenberg,49.516463,8.475755,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
614302,Herrenmühle,49.413895,8.717732,,0
614304,Herrenmühle,49.414383,8.717121,,0
555906,Hofrat-Wild-Straße,49.450203,8.520772,,0
202105,Anglerstraße,49.53232,8.382927,,0
555905,Hofrat-Wild-Straße,49.45013,8.522165,,0
131702,Kreuzgrundweg,49.431771,8.74746,,0
131701,Kreuzgrundweg,49.431677,8.747678,,0
252101,Duale Hochschule,49.475326,8.534086,,0
243906,Max-Joseph-Straße,49.499669,8.476313,,0
280905,Landzungenstraße,49.495378,8.454274,,0
123102,Jugendherberge,49.417339,8.661133,,0
123101,Jugendherberge,49.417377,8.661059,,0
216205,Speyerer Straße(LU),49.482122,8.367182,,0
216206,Speyerer Straße(LU),49.48209,8.367129,,0
110702,Hirtenbrunnenweg,49.422635,8.756339,,0
110701,Hirtenbrunnenweg,49.422625,8.7564,,0
234605,Ölhafen,49.525165,8.449141,,0
295105,Besselstraße,49.450287,8.51631,,0
217005,Frankenstraße,49.515126,8.403498,,0
217006,Frankenstraße,49.515183,8.403644,,0
261602,Roche,49.528692,8.468683,,0
261601,Roche,49.528296,8.469148,,0
261606,Roche,49.528704,8.468916,,0
261605,Roche,49.528416,8.469127,,0
273205,Herrenalber Straße,49.469082,8.552086,,0
273206,Herrenalber Straße,49.468894,8.551871,,0
344301,Steinachbrücke,49.466984,8.801416,,0
344302,Steinachbrücke,49.467193,8.801389,,0
411311,Freiburger Straße,49.545324,8.628792,,0
411312,Freiburger Straße,49.545106,8.630951,,0
259906,Pumpwerk,49.46069,8.55263,,0
259905,Pumpwerk,49.45941,8.55059,,0
